# ----------------------------------------
# Report CSV Export
# Account: MH4U
# Property: www.mh4u.in.ua - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230708
# End date: 20240304
Date,Event count,Total users,Event count per user,Average session duration,New users,Returning users
20231010,11338,2831,4.280105700264251,61.45831645967741,2539,309
20231009,7555,1964,4.204229271007234,66.77598291073082,1718,218
20231106,6804,1814,4.153846153846154,60.812208704361055,1563,160
20231011,6011,1609,4.230119634060521,75.96184417593643,1326,170
20240212,5996,1595,4.163888888888889,71.18188250086655,1395,131
20231105,5993,1599,4.104794520547945,52.56055997955607,1412,122
20231107,5907,1614,4.079419889502763,65.1645033748565,1377,137
20240122,5765,1603,4.031468531468532,60.35812961901984,1372,128
20231101,5605,1551,4.015042979942693,56.09479074599407,1329,156
20231108,5525,1534,4.0476190476190474,63.64931377804584,1319,136
20231012,5357,1481,4.172118380062305,63.97094332236024,1216,147
20240117,5289,1503,3.9529147982062782,65.5876887324802,1297,119
20231031,5286,1488,4.0167173252279635,58.2621172008626,1249,153
20240115,5278,1505,3.8751835535976507,70.84692368784701,1305,133
20231025,5266,1485,4.035249042145594,75.16503693412056,1254,125
20240124,5252,1452,4.015290519877676,73.26250170485679,1236,160
20231113,5208,1479,4.043478260869565,58.705996510165185,1230,114
20231121,5204,1457,4.027863777089784,69.36815393375,1225,143
20231026,5147,1466,3.9051593323216998,55.65680718793211,1268,126
20231030,5145,1458,3.966846569005397,60.46283780525986,1242,131
20240125,5134,1441,4.001558846453625,63.22954651794872,1222,136
20231117,5129,1383,4.12962962962963,72.27867633198653,1196,112
20231120,5122,1454,4.029897718332022,53.826888332904886,1217,118
20240110,5099,1421,3.9960815047021945,64.36233620516128,1237,126
20231114,5094,1431,3.9519006982156712,66.62939788337628,1236,126
20240123,5057,1424,3.956964006259781,65.73580947089263,1219,130
20240116,5055,1447,3.8884615384615384,57.96903729252577,1256,112
20231102,5028,1396,4.028846153846154,66.79802391258278,1197,132
20231005,5022,1386,4.053268765133172,61.350601819463094,1196,112
20231027,5016,1386,4.0128,69.23942355846775,1199,112
20231109,5010,1401,4.050121261115602,69.65448836203522,1191,112
20231129,5007,1439,3.8904428904428903,57.97478972258064,1243,114
20240220,4978,1441,3.8559256390395045,55.73911791617551,1228,120
20231127,4963,1389,4.044824775876121,71.49025263957361,1163,140
20231122,4949,1364,4.103648424543947,63.3584601902834,1160,118
20231013,4942,1370,4.0541427399507795,53.73034778063643,1176,107
20240222,4941,1384,4.0301794453507345,69.07597885163007,1168,128
20240219,4926,1375,4.077814569536423,58.813994006706906,1144,133
20240111,4923,1392,3.9447115384615383,71.69200143209055,1184,141
20240202,4903,1326,4.106365159128978,72.55358496861925,1142,129
20231017,4901,1391,3.984552845528455,52.890444802263644,1167,132
20240118,4886,1390,3.9885714285714284,71.68524236955064,1187,100
20240205,4869,1370,4.054121565362198,64.98493264189189,1140,126
20240213,4868,1331,4.1149619611158075,69.12921526213593,1120,123
20231024,4860,1375,4.01985111662531,62.81503049022252,1144,130
20240215,4839,1352,4.025790349417638,51.24194772807018,1148,122
20240126,4806,1352,3.9620774938169827,67.33542547009736,1161,114
20231123,4789,1341,4.01761744966443,65.9956566151743,1135,136
20231023,4787,1346,4.026072329688814,78.94614859097126,1130,129
20231128,4786,1381,3.903752039151713,61.92858449322494,1159,129
20240119,4785,1394,3.849557522123894,60.2852078167116,1183,116
20231207,4763,1377,3.9396195202646815,48.51627608249497,1160,108
